Variable,Bin id,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Coefficient,Points
NAME_CONTRACT_TYPE,0,['Revolving loans'],23446,0.095,22171,1275,0.054,0.42,0.014,0.002,-0.668,-7.761
NAME_CONTRACT_TYPE,1,['Cash loans'],222562,0.905,204045,18517,0.083,-0.037,0.001,0.0,-0.668,6.837
NAME_CONTRACT_TYPE,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.668,5.667
NAME_CONTRACT_TYPE,3,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.668,5.667
CODE_GENDER,0,['XNA' 'F'],161949,0.658,150658,11291,0.07,0.155,0.015,0.002,-0.661,0.765
CODE_GENDER,1,['M'],84059,0.342,75558,8501,0.101,-0.251,0.024,0.003,-0.661,13.632
CODE_GENDER,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.661,5.667
CODE_GENDER,3,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.661,5.667
FLAG_OWN_CAR,0,['Y'],83623,0.34,77551,6072,0.073,0.111,0.004,0.0,-1.114,-0.259
FLAG_OWN_CAR,1,['N'],162385,0.66,148665,13720,0.084,-0.053,0.002,0.0,-1.114,8.516
FLAG_OWN_CAR,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-1.114,5.667
FLAG_OWN_CAR,3,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-1.114,5.667
CNT_CHILDREN,0,"(-inf, 0.50)",172410,0.701,159186,13224,0.077,0.052,0.002,0.0,-0.631,4.101
CNT_CHILDREN,1,"[0.50, inf)",73598,0.299,67030,6568,0.089,-0.113,0.004,0.001,-0.631,9.091
CNT_CHILDREN,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.631,5.667
CNT_CHILDREN,3,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.631,5.667
AMT_INCOME_TOTAL,0,"(-inf, 76374.00)",19160,0.078,17676,1484,0.077,0.041,0.0,0.0,0.234,6.131
AMT_INCOME_TOTAL,1,"[76374.00, 94038.75)",27365,0.111,25080,2285,0.084,-0.041,0.0,0.0,0.234,5.212
AMT_INCOME_TOTAL,2,"[94038.75, 139484.25)",73010,0.297,66781,6229,0.085,-0.064,0.001,0.0,0.234,4.948
AMT_INCOME_TOTAL,3,"[139484.25, 160791.75)",26794,0.109,24437,2357,0.088,-0.098,0.001,0.0,0.234,4.572
AMT_INCOME_TOTAL,4,"[160791.75, 185625.00)",26333,0.107,24133,2200,0.084,-0.041,0.0,0.0,0.234,5.206
AMT_INCOME_TOTAL,5,"[185625.00, 223456.50)",18873,0.077,17366,1507,0.08,0.008,0.0,0.0,0.234,5.759
AMT_INCOME_TOTAL,6,"[223456.50, 225056.25)",16667,0.068,15401,1266,0.076,0.062,0.0,0.0,0.234,6.368
AMT_INCOME_TOTAL,7,"[225056.25, 310950.00)",20046,0.081,18628,1418,0.071,0.139,0.001,0.0,0.234,7.231
AMT_INCOME_TOTAL,8,"[310950.00, inf)",17760,0.072,16714,1046,0.059,0.335,0.007,0.001,0.234,9.43
AMT_INCOME_TOTAL,9,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.234,5.667
AMT_INCOME_TOTAL,10,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,0.234,5.667
AMT_CREDIT,0,"(-inf, 158105.25)",17270,0.07,16234,1036,0.06,0.316,0.006,0.001,0.117,7.437
AMT_CREDIT,1,"[158105.25, 281884.50)",47965,0.195,44309,3656,0.076,0.059,0.001,0.0,0.117,5.996
AMT_CREDIT,2,"[281884.50, 338715.00)",17822,0.072,16151,1671,0.094,-0.168,0.002,0.0,0.117,4.727
AMT_CREDIT,3,"[338715.00, 544495.50)",50241,0.204,45332,4909,0.098,-0.213,0.01,0.001,0.117,4.471
AMT_CREDIT,4,"[544495.50, 670293.00)",22375,0.091,19890,2485,0.111,-0.356,0.013,0.002,0.117,3.669
AMT_CREDIT,5,"[670293.00, 835443.00)",33719,0.137,31122,2597,0.077,0.047,0.0,0.0,0.117,5.933
AMT_CREDIT,6,"[835443.00, 1100342.25)",27437,0.112,25542,1895,0.069,0.165,0.003,0.0,0.117,6.592
AMT_CREDIT,7,"[1100342.25, 1345173.75)",15885,0.065,14904,981,0.062,0.285,0.005,0.001,0.117,7.264
AMT_CREDIT,8,"[1345173.75, inf)",13294,0.054,12732,562,0.042,0.684,0.019,0.002,0.117,9.505
AMT_CREDIT,9,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.117,5.667
AMT_CREDIT,10,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,0.117,5.667
AMT_ANNUITY,0,"(-inf, 13551.75)",42613,0.173,39738,2875,0.067,0.19,0.006,0.001,-0.335,2.619
AMT_ANNUITY,1,"[13551.75, 16409.25)",17687,0.072,16381,1306,0.074,0.093,0.001,0.0,-0.335,4.177
AMT_ANNUITY,2,"[16409.25, 23946.75)",55714,0.226,50898,4816,0.086,-0.078,0.001,0.0,-0.335,6.924
AMT_ANNUITY,3,"[23946.75, 26502.75)",20852,0.085,19039,1813,0.087,-0.085,0.001,0.0,-0.335,7.026
AMT_ANNUITY,4,"[26502.75, 29837.25)",20531,0.083,18569,1962,0.096,-0.189,0.003,0.0,-0.335,8.693
AMT_ANNUITY,5,"[29837.25, 31637.25)",12428,0.051,11023,1405,0.113,-0.376,0.008,0.001,-0.335,11.702
AMT_ANNUITY,6,"[31637.25, 35961.75)",20300,0.083,18520,1780,0.088,-0.094,0.001,0.0,-0.335,7.174
AMT_ANNUITY,7,"[35961.75, 41746.50)",20985,0.085,19282,1703,0.081,-0.009,0.0,0.0,-0.335,5.819
AMT_ANNUITY,8,"[41746.50, 47054.25)",12398,0.05,11557,841,0.068,0.184,0.002,0.0,-0.335,2.712
AMT_ANNUITY,9,"[47054.25, inf)",22493,0.091,21202,1291,0.057,0.362,0.01,0.001,-0.335,-0.146
AMT_ANNUITY,10,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.335,5.667
AMT_ANNUITY,11,Missing,7,0.0,7,0,0.0,0.0,0.0,0.0,-0.335,5.667
AMT_GOODS_PRICE,0,"(-inf, 137250.00)",17455,0.071,16339,1116,0.064,0.248,0.004,0.0,-0.577,-1.181
AMT_GOODS_PRICE,1,"[137250.00, 206266.50)",18440,0.075,16951,1489,0.081,-0.004,0.0,0.0,-0.577,5.778
AMT_GOODS_PRICE,2,"[206266.50, 282703.50)",44400,0.18,40697,3703,0.083,-0.039,0.0,0.0,-0.577,6.752
AMT_GOODS_PRICE,3,"[282703.50, 407362.50)",22703,0.092,20380,2323,0.102,-0.265,0.007,0.001,-0.577,12.983
AMT_GOODS_PRICE,4,"[407362.50, 450117.00)",23304,0.095,20101,3203,0.137,-0.6,0.044,0.005,-0.577,22.249
AMT_GOODS_PRICE,5,"[450117.00, 675681.75)",55279,0.225,50980,4299,0.078,0.037,0.0,0.0,-0.577,4.648
AMT_GOODS_PRICE,6,"[675681.75, 902371.50)",30782,0.125,28866,1916,0.062,0.276,0.009,0.001,-0.577,-1.972
AMT_GOODS_PRICE,7,"[902371.50, 1273590.00)",20565,0.084,19377,1188,0.058,0.356,0.009,0.001,-0.577,-4.168
AMT_GOODS_PRICE,8,"[1273590.00, inf)",12866,0.052,12328,538,0.042,0.696,0.019,0.002,-0.577,-13.571
AMT_GOODS_PRICE,9,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.577,5.667
AMT_GOODS_PRICE,10,Missing,214,0.001,197,17,0.079,0.014,0.0,0.0,-0.577,5.286
NAME_INCOME_TYPE,0,['Businessman' 'Student' 'Pensioner'],44518,0.181,42117,2401,0.054,0.428,0.028,0.003,-0.269,0.141
NAME_INCOME_TYPE,1,['State servant'],17378,0.071,16410,968,0.056,0.394,0.009,0.001,-0.269,0.582
NAME_INCOME_TYPE,2,['Commercial associate'],57241,0.233,52990,4251,0.074,0.087,0.002,0.0,-0.269,4.548
NAME_INCOME_TYPE,3,['Working' 'Maternity leave' 'Unemployed'],126871,0.516,114699,12172,0.096,-0.193,0.021,0.003,-0.269,8.158
NAME_INCOME_TYPE,4,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.269,5.667
NAME_INCOME_TYPE,5,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.269,5.667
NAME_EDUCATION_TYPE,0,['Academic degree' 'Higher education'],60084,0.244,56885,3199,0.053,0.442,0.04,0.005,-0.458,-4.041
NAME_EDUCATION_TYPE,1,['Incomplete higher' 'Secondary / secondary special' 'Lower secondary'],185924,0.756,169331,16593,0.089,-0.113,0.01,0.001,-0.458,8.157
NAME_EDUCATION_TYPE,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.458,5.667
NAME_EDUCATION_TYPE,3,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.458,5.667
NAME_FAMILY_STATUS,0,['Unknown' 'Widow'],12879,0.052,12127,752,0.058,0.344,0.005,0.001,-0.28,1.056
NAME_FAMILY_STATUS,1,['Married'],157117,0.639,145278,11839,0.075,0.071,0.003,0.0,-0.28,4.716
NAME_FAMILY_STATUS,2,['Separated'],15826,0.064,14535,1291,0.082,-0.015,0.0,0.0,-0.28,5.869
NAME_FAMILY_STATUS,3,['Single / not married'],36297,0.148,32763,3534,0.097,-0.209,0.007,0.001,-0.28,8.471
NAME_FAMILY_STATUS,4,['Civil marriage'],23889,0.097,21513,2376,0.099,-0.233,0.006,0.001,-0.28,8.788
NAME_FAMILY_STATUS,5,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.28,5.667
NAME_FAMILY_STATUS,6,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.28,5.667
NAME_HOUSING_TYPE,0,"['Office apartment' 'Co-op apartment' 'House / apartment'
 'Municipal apartment']",230291,0.936,212355,17936,0.078,0.035,0.001,0.0,0.022,5.705
NAME_HOUSING_TYPE,1,['With parents' 'Rented apartment'],15717,0.064,13861,1856,0.118,-0.426,0.014,0.002,0.022,5.215
NAME_HOUSING_TYPE,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.022,5.667
NAME_HOUSING_TYPE,3,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,0.022,5.667
REGION_POPULATION_RELATIVE,0,"(-inf, 0.01)",83619,0.34,76630,6989,0.084,-0.042,0.001,0.0,0.011,5.646
REGION_POPULATION_RELATIVE,1,"[0.01, 0.02)",15482,0.063,14134,1348,0.087,-0.086,0.0,0.0,0.011,5.624
REGION_POPULATION_RELATIVE,2,"[0.02, 0.02)",33508,0.136,30517,2991,0.089,-0.114,0.002,0.0,0.011,5.61
REGION_POPULATION_RELATIVE,3,"[0.02, 0.02)",17114,0.07,15321,1793,0.105,-0.291,0.007,0.001,0.011,5.52
REGION_POPULATION_RELATIVE,4,"[0.02, 0.03)",60228,0.245,55537,4691,0.078,0.035,0.0,0.0,0.011,5.685
REGION_POPULATION_RELATIVE,5,"[0.03, 0.04)",18531,0.075,17366,1165,0.063,0.266,0.005,0.001,0.011,5.802
REGION_POPULATION_RELATIVE,6,"[0.04, inf)",17526,0.071,16711,815,0.047,0.584,0.019,0.002,0.011,5.963
REGION_POPULATION_RELATIVE,7,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.011,5.667
REGION_POPULATION_RELATIVE,8,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,0.011,5.667
DAYS_BIRTH,0,"(-inf, -23205.50)",12323,0.05,11787,536,0.043,0.654,0.016,0.002,0.172,11.074
DAYS_BIRTH,1,"[-23205.50, -21889.50)",16466,0.067,15613,853,0.052,0.471,0.012,0.002,0.172,9.558
DAYS_BIRTH,2,"[-21889.50, -20726.50)",16781,0.068,15869,912,0.054,0.42,0.01,0.001,0.172,9.14
DAYS_BIRTH,3,"[-20726.50, -19865.50)",13104,0.053,12339,765,0.058,0.344,0.005,0.001,0.172,8.513
DAYS_BIRTH,4,"[-19865.50, -18619.50)",19211,0.078,17917,1294,0.067,0.192,0.003,0.0,0.172,7.252
DAYS_BIRTH,5,"[-18619.50, -17376.50)",18339,0.075,17021,1318,0.072,0.122,0.001,0.0,0.172,6.676
DAYS_BIRTH,6,"[-17376.50, -15329.50)",34498,0.14,31870,2628,0.076,0.059,0.0,0.0,0.172,6.157
DAYS_BIRTH,7,"[-15329.50, -14101.50)",23338,0.095,21436,1902,0.081,-0.014,0.0,0.0,0.172,5.551
DAYS_BIRTH,8,"[-14101.50, -13426.50)",13015,0.053,11884,1131,0.087,-0.084,0.0,0.0,0.172,4.972
DAYS_BIRTH,9,"[-13426.50, -12729.50)",12343,0.05,11184,1159,0.094,-0.169,0.002,0.0,0.172,4.269
DAYS_BIRTH,10,"[-12729.50, -11678.50)",17815,0.072,16050,1765,0.099,-0.229,0.004,0.001,0.172,3.778
